"step","type","amount","nameOrig","oldbalanceOrg","newbalanceOrig","nameDest","oldbalanceDest","newbalanceDest"
9,"PAYMENT",19284.07,"C87927488",1536850.58,1517566.51,"M506433460",0,0
9,"CASH_IN",184472.74,"C370262615",13770,198242.74,"C1610598562",25474,0
9,"PAYMENT",15476.72,"C1276862023",52676,37199.28,"M704860444",0,0
9,"PAYMENT",20251.73,"C1797412843",10540,0,"M215777891",0,0
9,"PAYMENT",9601.72,"C395609011",138233.84,128632.12,"M314108743",0,0
9,"PAYMENT",2859.32,"C1435805031",2607,0,"M56322866",0,0
9,"CASH_IN",274457.56,"C1175789316",1857071.6,2131529.16,"C1837558204",597200.81,288280.28
9,"CASH_IN",270575.8,"C1690425378",0,270575.8,"C1330106945",17303.52,48660.79
9,"TRANSFER",1469539.6,"C745675977",305,0,"C440480434",0,1980199.6
9,"CASH_IN",161616.17,"C1768159860",4063,165679.17,"C692093678",122201.35,0
9,"PAYMENT",3747.03,"C1537919752",357225.87,353478.83,"M1878641177",0,0
9,"TRANSFER",1080361.47,"C275835098",0,0,"C1921483039",1195338.49,3163757.49
9,"CASH_OUT",196019.65,"C1795862940",0,0,"C1970028793",598914.71,791732.3
9,"CASH_IN",423912.91,"C552126306",780437.22,1204350.12,"C119306016",725269.14,453522.89
9,"CASH_OUT",3855.47,"C1896754073",0,0,"C2110306645",3993,34099.68
9,"PAYMENT",1071.57,"C845461768",0,0,"M422041323",0,0
9,"CASH_OUT",71849.09,"C2065486158",0,0,"C312362475",582591.57,769900.49
9,"CASH_IN",26199.26,"C1446392207",117429,143628.26,"C105198636",315773.07,79400.75
9,"CASH_IN",263470.81,"C1289546320",32831,296301.81,"C1355626410",46106,0
9,"CASH_OUT",36667.09,"C2038086593",0,0,"C1731643198",125055.64,161722.73
9,"CASH_OUT",47165.64,"C1942304007",11649,0,"C1635134358",0,47165.64
10,"CASH_OUT",231879.35,"C533240709",0,0,"C662822148",544556.66,1061297.9
10,"PAYMENT",2624.85,"C271103751",260129.46,257504.61,"M549541145",0,0
10,"CASH_OUT",158935.52,"C2098133541",418,0,"C222551706",0,158935.52
10,"PAYMENT",8238.38,"C945623538",0,0,"M1533577233",0,0
10,"PAYMENT",19314.24,"C710257384",172,0,"M2059302982",0,0
10,"PAYMENT",2640.03,"C550147006",0,0,"M712774379",0,0
10,"PAYMENT",18120.68,"C599905926",33396,15275.32,"M2024111192",0,0
10,"TRANSFER",231637.5,"C683519318",0,0,"C1487669283",4988997.8,5035905.32
10,"CASH_OUT",664132.88,"C1694934796",14597,0,"C1208490405",56,664188.88
10,"CASH_OUT",67456.84,"C458225448",7250,0,"C942769706",0,677347.65
10,"CASH_IN",232028.65,"C873703299",12116,244144.65,"C59700707",314783.82,0
10,"CASH_OUT",282786.94,"C1037376353",2792,0,"C251155815",1116552.97,1840582.94
10,"CASH_IN",166059.97,"C2073671636",109562,275621.97,"C1215844296",167976.47,39184.15
10,"PAYMENT",4178.62,"C191573009",0,0,"M1511382263",0,0
10,"CASH_IN",377019.99,"C1716650123",6955,383974.99,"C1070217435",169,0
10,"PAYMENT",13727.49,"C1470394325",32786,19058.51,"M78990503",0,0
10,"CASH_OUT",198208.06,"C313730487",0,0,"C907833742",451453.36,649661.42
10,"PAYMENT",2418.69,"C119372640",21572,19153.31,"M764359363",0,0
10,"PAYMENT",20159.67,"C861220512",659,0,"M1906885337",0,0
10,"CASH_OUT",97370.22,"C229463808",5027,0,"C890529712",0,0
10,"CASH_OUT",263159.2,"C2130321354",0,0,"C595217186",0,0
10,"CASH_IN",359589.13,"C1227964697",7529636.13,7889225.26,"C155706298",16086853.79,17100385.34
10,"PAYMENT",10798.08,"C1434515483",0,0,"M1573858080",0,0
10,"CASH_OUT",356963.11,"C1418727544",0,0,"C224342296",2607300.66,3011784.96
10,"CASH_OUT",420576.05,"C157817674",49581,0,"C55786874",141268.28,123822.85
10,"DEBIT",3870.4,"C1471822551",170287,166416.6,"C795995217",8802,12672.4
10,"CASH_OUT",389276.99,"C1978306517",0,0,"C91463800",2084626.19,2473903.18
10,"CASH_IN",261734.64,"C687058609",25333,287067.64,"C1146577120",3074943.76,2468477.07
10,"PAYMENT",1568.09,"C543054766",0,0,"M1375018796",0,0
10,"PAYMENT",7970.42,"C1083488235",10071,2100.58,"M940748568",0,0
10,"TRANSFER",613274.94,"C170538047",0,0,"C2039260934",1038715.29,2909196.48
10,"PAYMENT",16569.33,"C496946536",21454,4884.67,"M980817319",0,0
10,"CASH_OUT",74961.08,"C1693849251",0,0,"C1813397950",1328121.15,1786525.25
10,"TRANSFER",352675.85,"C215126238",0,0,"C737463550",7907520.32,8530692.8
10,"CASH_OUT",461862.6,"C496925378",0,0,"C474567538",476985.16,1374332.55
10,"CASH_OUT",79876.73,"C1422289283",51216,0,"C1891920455",0,79876.73
10,"PAYMENT",5502.21,"C892283829",334,0,"M1633657905",0,0
10,"CASH_OUT",68358.09,"C1236411622",519010.46,450652.37,"C818321094",12249321.28,12317679.37
10,"PAYMENT",20450.44,"C107703693",25716,5265.56,"M1558985113",0,0
10,"CASH_IN",355962.32,"C1537515814",40722,396684.32,"C1963658928",4416929.56,4060967.24
10,"TRANSFER",775453.44,"C2141002500",0,0,"C1187871127",4511273.77,5229687.42
10,"CASH_OUT",7488.33,"C1276956519",11370,3881.67,"C2027298583",0,68153.42
10,"PAYMENT",13890.06,"C2012907775",1283305.29,1269415.22,"M327060827",0,0
11,"PAYMENT",35641.83,"C1956734542",204847.5,169205.67,"M1107876444",0,0
11,"CASH_OUT",186837.33,"C1139923396",0,0,"C704815699",229454.29,1165105.77
11,"CASH_OUT",128377.28,"C1421450460",0,0,"C545707113",438400.53,566777.8
11,"CASH_OUT",339388.33,"C2061343797",29993,0,"C1250876164",100996,405762.22
11,"TRANSFER",770237.75,"C645172702",0,0,"C2067546399",3287603.97,4057841.72
11,"PAYMENT",15071.66,"C1949430834",156710.65,141638.99,"M1312048209",0,0
11,"CASH_OUT",349477.85,"C217297354",11309,0,"C1814993976",4077541.91,4427019.76
11,"CASH_IN",275077.07,"C685882485",16055,291132.07,"C1977614404",166412.29,0
11,"PAYMENT",4275.18,"C1284326461",513057.73,508782.55,"M441499730",0,0
11,"CASH_OUT",46146.07,"C763995346",9002,0,"C72182350",2457707.78,2503853.85
11,"PAYMENT",1985.48,"C1892312815",31170,29184.52,"M823718957",0,0
11,"PAYMENT",3380.49,"C1451133779",4825.24,1444.75,"M1696973429",0,0
11,"CASH_OUT",493242.39,"C1152578586",9938,0,"C264018832",145685.02,638927.41
11,"CASH_IN",265129.46,"C64733795",2731708.62,2996838.07,"C187019413",773796.82,780096.47
11,"CASH_IN",23716.23,"C1221988545",13771536.87,13795253.1,"C2059639789",1653596.3,1772971.85
11,"PAYMENT",6894.53,"C293846400",187612.28,180717.76,"M424583421",0,0
11,"PAYMENT",6705.13,"C1614396723",5581,0,"M982109410",0,0
11,"CASH_OUT",324916.51,"C1338502328",310016,0,"C1589083345",146154.71,471071.22
11,"PAYMENT",16018.59,"C1509864771",99236,83217.41,"M3833722",0,0
11,"TRANSFER",409602.25,"C1878859152",0,0,"C223031720",497098.45,1259348.88
11,"PAYMENT",9863.17,"C1126569853",0,0,"M1376812577",0,0
11,"CASH_OUT",189599.26,"C1939542059",816087.33,626488.06,"C1377979219",260471.49,112516.62
11,"CASH_OUT",100832.91,"C634922380",52483,0,"C1777225585",446797.53,502291.2
11,"CASH_OUT",170597.05,"C2035037978",0,0,"C109490548",1252154.6,1345477.93
11,"PAYMENT",9450.45,"C1223114083",71221.62,61771.17,"M626419475",0,0
11,"PAYMENT",14461.75,"C1029195455",2937,0,"M414126581",0,0
11,"CASH_OUT",529260.24,"C1606393123",5569,0,"C1837095482",2136422.03,2665682.26
11,"CASH_OUT",274669.69,"C326446460",16,0,"C73009098",100458,375127.69
11,"CASH_IN",143873.46,"C1551093286",3973455.1,4117328.56,"C38487415",800653.63,388993
11,"CASH_IN",188694.59,"C2048856618",20684,209378.59,"C756315397",0,0
11,"TRANSFER",106457.31,"C1521529402",0,0,"C1157464567",905882.24,927979.52
11,"CASH_OUT",252959.61,"C2122242483",0,0,"C1718017640",1922533.2,2345809.33
11,"PAYMENT",14719.46,"C1541717590",0,0,"M70470437",0,0
11,"CASH_OUT",268133.52,"C1370995315",0,0,"C2064279834",2645894.21,2914027.73
12,"CASH_OUT",285671.32,"C2056318414",0,0,"C980380973",2539998.52,3066956.05
12,"CASH_OUT",89225.02,"C761699116",49229,0,"C1952011706",96081.37,185306.39
12,"CASH_OUT",279494.46,"C114252999",34170.61,0,"C2104502119",568298.56,1272272.3
12,"PAYMENT",2909.97,"C444955877",0,0,"M415992633",0,0
12,"CASH_IN",127303.84,"C407372484",5880867.76,6008171.6,"C2020488612",412709.35,285405.51
12,"CASH_IN",46560.08,"C1480450076",19351796.86,19398356.94,"C1284149862",4501792.97,4455232.89
12,"CASH_IN",80529.58,"C1904746924",355647.07,436176.65,"C537530062",116458.51,35928.92
12,"CASH_OUT",428681.61,"C826688268",13279,0,"C980610002",72047.35,500728.97
12,"PAYMENT",19358.42,"C124061747",178128.01,158769.59,"M2119427969",0,0
12,"CASH_OUT",66362.23,"C792570272",0,0,"C456278962",516417.58,697594.22
12,"CASH_IN",275028.78,"C1556131108",4383701.17,4658729.95,"C1249366693",1181272.29,906243.51
12,"CASH_OUT",188571.12,"C519227126",0,0,"C1013296540",608669.06,797240.18
12,"CASH_OUT",269259.35,"C618763341",0,0,"C2126903159",0,269259.35
12,"PAYMENT",17709.79,"C1639510953",206307,188597.21,"M1853593567",0,0
12,"PAYMENT",22492.74,"C464132309",0,0,"M1177417144",0,0
12,"CASH_OUT",265940.85,"C819916332",0,0,"C1785910017",2844204.93,2885134.6
12,"PAYMENT",33065.53,"C562802157",96362,63296.47,"M769913538",0,0
12,"PAYMENT",3046.93,"C1320445708",0,0,"M754930259",0,0
12,"PAYMENT",16448.22,"C1603879588",314,0,"M439585043",0,0
12,"CASH_OUT",187467.09,"C823028257",19175,0,"C1378913793",164557.31,229089.87
12,"TRANSFER",134405.88,"C1133325755",0,0,"C318929284",213952.95,690038.19
12,"CASH_OUT",380088.53,"C670746904",147,0,"C911698081",42977,1716154.15
12,"CASH_OUT",253170.66,"C2068337942",140,0,"C675675410",79962.44,289713.2
12,"PAYMENT",12137,"C344658756",14232,2095,"M1040417138",0,0
12,"PAYMENT",9325.09,"C1018790832",194,0,"M733237257",0,0
12,"CASH_IN",186947.93,"C798805342",1831336.12,2018284.05,"C2000385521",522087.68,335139.75
12,"CASH_IN",104050.32,"C19459231",9936626.99,10040677.31,"C681171646",134113.74,30063.43
12,"TRANSFER",785018.14,"C1507582677",0,0,"C93166806",3924620.13,4853329.94
12,"PAYMENT",12241.13,"C1737866283",0,0,"M2141756002",0,0
12,"PAYMENT",17448.68,"C651138973",0,0,"M152896904",0,0
12,"CASH_IN",328127.84,"C325561682",24679,352806.84,"C1652693742",0,0
12,"CASH_OUT",40329.23,"C2036289562",0,0,"C642275652",760792.09,850604.81
12,"PAYMENT",35463.55,"C1671811233",0,0,"M18900058",0,0
12,"CASH_OUT",39892.79,"C127212572",0,0,"C801412408",1980568.02,2023504.53
12,"CASH_OUT",173662.2,"C365922751",0,0,"C1076035314",864330.53,1280562.78
12,"PAYMENT",1238.65,"C192349067",7624.09,6385.44,"M2072361829",0,0
12,"CASH_OUT",17051.36,"C1774811241",0,0,"C219913687",4569478.89,5115822.8
12,"PAYMENT",7731.04,"C704256138",0,0,"M1123174425",0,0
12,"PAYMENT",52282.23,"C382515987",0,0,"M577090677",0,0
12,"PAYMENT",17532.22,"C1462482854",348091.89,330559.67,"M1963551331",0,0
12,"TRANSFER",1674000.52,"C1222565518",269,0,"C1619489362",307636.42,1721323.39
12,"PAYMENT",3067.77,"C552269678",26373.41,23305.64,"M250375611",0,0
12,"CASH_IN",182402.47,"C1619230187",1828,184230.47,"C1519804860",0,0
12,"CASH_OUT",99718.88,"C1726367192",0,0,"C1331209345",124253.25,223972.13
12,"CASH_IN",693567.23,"C609141612",115989.24,809556.47,"C916393385",1487973.21,894228.45
12,"PAYMENT",22910.28,"C260758155",7025,0,"M596973030",0,0
13,"PAYMENT",1343.35,"C1643519917",265003.69,263660.33,"M1061782643",0,0
13,"CASH_OUT",578345.3,"C1750331631",125111,0,"C2132084369",753363.24,1683097.8
13,"PAYMENT",7399.09,"C1759790228",0,0,"M574746228",0,0
13,"CASH_OUT",460403.17,"C1638834616",0,0,"C968448640",3620774.18,4081177.35
13,"CASH_IN",288645.06,"C1513512584",382195.24,670840.31,"C318651512",406219.38,117574.31
13,"CASH_IN",421755.2,"C1895198324",238367.61,660122.81,"C621833263",693278.49,111021.89
13,"CASH_IN",230885.86,"C1489939373",4333199.76,4564085.62,"C930817464",725916.75,495030.89
13,"PAYMENT",37847.46,"C745734135",23959.69,0,"M1918657667",0,0
13,"TRANSFER",488422.72,"C2021495988",631,0,"C2119224061",469880.67,958303.38
13,"PAYMENT",13774.95,"C724257795",113843.16,100068.21,"M942733043",0,0
13,"CASH_OUT",762270.94,"C1750633443",19262,0,"C1939575509",459962.01,1222232.95
13,"CASH_OUT",448756.77,"C2062580583",230,0,"C1617941510",353897.08,2289724
13,"PAYMENT",46501.76,"C907919781",222972,176470.24,"M136469638",0,0
13,"CASH_IN",280898.84,"C962122184",20021,300919.84,"C1867621371",276942.01,0
13,"CASH_OUT",55146.78,"C941363293",790150.04,735003.26,"C1839388616",158373.64,213520.42
13,"PAYMENT",18647.13,"C288011557",0,0,"M1180396769",0,0
13,"PAYMENT",7911.56,"C1337321202",169436.97,161525.41,"M850748414",0,0
13,"CASH_OUT",280060.04,"C372067667",77061.78,0,"C870064925",6317.48,286377.52
13,"CASH_IN",90444.28,"C688059384",22347603.33,22438047.61,"C554081302",105533.5,15089.22
13,"CASH_IN",128804.95,"C1487743019",9449166.77,9577971.71,"C1164205533",634559.55,505754.61
13,"PAYMENT",21522.51,"C223640994",116629,95106.49,"M294388622",0,0
13,"PAYMENT",22842.87,"C1285144311",10765,0,"M1670191659",0,0
13,"CASH_OUT",63680.23,"C1165023148",542699,479018.77,"C871498649",22486.32,145317.28
13,"CASH_OUT",53505,"C1676605748",2002,0,"C1754599205",524812.6,487989.45
13,"CASH_IN",276066.23,"C1513304308",4361160,4637226.24,"C769501511",474240.24,375909.35
13,"PAYMENT",21645.15,"C1352691374",1385,0,"M1901253774",0,0
13,"CASH_OUT",101300.93,"C1043596404",56275,0,"C1006104964",3386,104686.93
13,"CASH_OUT",27807.24,"C193336254",10155,0,"C161373243",555296.91,583104.16
13,"CASH_OUT",71149.92,"C920951362",1031,0,"C42740673",0,71149.92
13,"TRANSFER",30856.74,"C518090373",0,0,"C175019817",70042,117178.29
14,"PAYMENT",969.9,"C338731887",41556,40586.1,"M564170283",0,0
14,"CASH_IN",105767.58,"C521552321",20726,126493.58,"C479231807",673525.84,567758.26
14,"CASH_IN",252368.82,"C885001203",5299010.82,5551379.64,"C1732292969",332496.69,80127.87
14,"CASH_OUT",132936.26,"C1459380834",0,0,"C1000910565",2422268.44,2607242.14
14,"CASH_IN",30332,"C1995197283",11300,41632,"C1225152713",2266217.25,2513615.08
14,"CASH_OUT",444044.73,"C172163483",0,0,"C1069815187",714532.49,1815435.24
14,"PAYMENT",29879.58,"C957954297",0,0,"M737723945",0,0
14,"PAYMENT",7561.01,"C446804429",459,0,"M1301894685",0,0
14,"PAYMENT",4115.81,"C76103479",30796,26680.19,"M1896189284",0,0
14,"CASH_OUT",191367.72,"C476836968",327595.03,136227.31,"C1822854098",376681.16,568048.88
14,"CASH_OUT",351699.52,"C2117175972",635,0,"C1448329555",484031.16,647403.54
14,"PAYMENT",24038.72,"C699322318",0,0,"M198621423",0,0
14,"TRANSFER",140969.67,"C138600455",263930.69,122961.03,"C2116520666",2019688.29,2160657.96
14,"PAYMENT",1982.25,"C885280688",0,0,"M678836005",0,0
14,"PAYMENT",6543.06,"C2144779770",0,0,"M345073153",0,0
14,"CASH_OUT",146558.89,"C1775100561",0,0,"C1531078393",1734809.98,1709415.36
14,"CASH_IN",63485.04,"C1515026020",1009136.98,1072622.02,"C243682045",948172.45,595104.33
14,"CASH_OUT",290339.86,"C1177846807",0,0,"C569675628",421941.87,712281.72
14,"CASH_IN",511619.36,"C635111275",13904165.05,14415784.41,"C147916733",3417351.4,5265262.02
14,"CASH_IN",274252.43,"C1966743682",28679115.7,28953368.13,"C747979499",1589022.1,1421990.04
14,"CASH_IN",16344,"C806206604",56746,73090,"C1999129847",2284069.35,2379249.65
14,"PAYMENT",25207.82,"C650587960",189260.81,164052.99,"M1624092811",0,0
14,"PAYMENT",3111.65,"C1888484880",201766.4,198654.75,"M408606113",0,0
14,"CASH_OUT",14256.48,"C1699244898",0,0,"C1346128563",460136.81,319187.11
14,"CASH_IN",45917.15,"C901833554",6276121.14,6322038.29,"C1197379726",336740.48,290823.32
14,"PAYMENT",8205.09,"C1373667589",0,0,"M976830902",0,0
14,"CASH_OUT",190483.62,"C1529214289",0,0,"C699817354",531242.08,1238205.49
14,"PAYMENT",6981.67,"C1736760781",180188,173206.33,"M285143744",0,0
14,"CASH_IN",309669.6,"C2096059313",18664132.56,18973802.16,"C1151488145",408981.55,422894.06
14,"CASH_OUT",271493.04,"C1633740684",37829.46,0,"C338077337",749949.52,506996.6
14,"CASH_OUT",403069.95,"C405437149",0,0,"C68113386",20221322.2,20766114.69
14,"CASH_OUT",150165.41,"C360869357",322627,172461.59,"C1882180569",1338834.6,1489000.01
14,"CASH_OUT",300229.89,"C359257510",0,0,"C1781790425",313816.62,614046.5
14,"CASH_IN",429095.73,"C1191764615",2104249.92,2533345.65,"C2092277606",1205009.95,774398.93
14,"CASH_IN",25903.29,"C778038981",7720791.56,7746694.85,"C221923912",131695.37,0
14,"TRANSFER",281700.92,"C592439308",146,0,"C714136801",472624.47,754325.39
15,"PAYMENT",2075.27,"C1495013872",42168,40092.73,"M288038116",0,0
15,"PAYMENT",4572.58,"C1652969668",0,0,"M1637606853",0,0
15,"CASH_IN",90096.62,"C984316046",9055570.74,9145667.36,"C1531514206",6244243.52,6935107.52
15,"CASH_OUT",444704.6,"C1925418553",0,0,"C2056524531",1601502.72,2223407.07
15,"CASH_OUT",87006.25,"C255095440",60211,0,"C35181441",96274.61,183280.87
15,"PAYMENT",7452.1,"C114168838",0,0,"M1830742042",0,0
15,"PAYMENT",14826.2,"C823974535",21452,6625.8,"M795937560",0,0
15,"TRANSFER",1798023.05,"C735049512",0,0,"C828941792",3262554.18,5012543.32
15,"PAYMENT",12361.69,"C1846892605",99709,87347.31,"M494244535",0,0
15,"PAYMENT",767.71,"C1194291727",254724.65,253956.94,"M718848945",0,0
15,"CASH_OUT",240821.95,"C1854430560",0,0,"C44877660",915247.41,1510417.36
15,"CASH_OUT",18253.18,"C1139366220",0,0,"C1545377456",152738.48,1203568.06
15,"CASH_OUT",245173.63,"C458957025",0,0,"C1705800632",2039795.66,2831851.73
15,"TRANSFER",221609.73,"C1633927159",0,0,"C1818375095",4102904.34,4109464.27
15,"PAYMENT",7678.06,"C386593943",11472.22,3794.16,"M1763641192",0,0
15,"PAYMENT",11756.58,"C53215026",0,0,"M1566901902",0,0
15,"CASH_OUT",227832.93,"C1149576294",550,0,"C2074095780",0,645028.08
15,"CASH_OUT",64821.17,"C780396400",0,0,"C2069858366",1492405.6,1557226.77
15,"PAYMENT",28276.91,"C1143645166",148826.63,120549.72,"M282477610",0,0
15,"CASH_OUT",44468.22,"C163880245",0,0,"C1062650008",3958507.94,3777587.52
15,"CASH_OUT",64205.86,"C566742468",39661,0,"C811730827",229432.69,0
15,"CASH_IN",4549.61,"C510941921",583015.29,587564.89,"C659007984",0,0
15,"CASH_OUT",136668.54,"C496862975",1172.74,0,"C1095234183",636845.44,1109339.65
15,"CASH_OUT",230345.99,"C274680688",0,0,"C1496803713",306909.93,537255.91
15,"CASH_OUT",127811.55,"C419195410",0,0,"C1321640594",4225590.53,4353402.08
15,"PAYMENT",17773.46,"C646981830",336450.95,318677.48,"M1152485217",0,0
15,"CASH_OUT",124879.76,"C415542181",10484,0,"C1754676559",916587.23,1041466.99
15,"PAYMENT",5055.44,"C1254575183",0,0,"M2139283812",0,0
15,"CASH_OUT",42957.26,"C1347654821",63962.35,21005.09,"C2097780995",0,42957.26
15,"PAYMENT",2593.87,"C1406703325",397913.14,395319.27,"M1290575660",0,0
15,"PAYMENT",11720.93,"C1609782497",0,0,"M552121918",0,0
15,"CASH_IN",82101.9,"C1960997136",1235581.38,1317683.28,"C1517016560",2189490.33,2107388.43
15,"PAYMENT",23313.12,"C52521488",334675.44,311362.32,"M1037157703",0,0
15,"CASH_OUT",200503.9,"C1439451713",0,0,"C2112826959",4203787.53,4404291.43
15,"CASH_OUT",140400.35,"C1115495345",217,0,"C1528205603",0,140400.35
15,"PAYMENT",8304.54,"C1023049648",203186,194881.46,"M1941366509",0,0
15,"CASH_IN",213750.76,"C1589438956",2300148.59,2513899.35,"C1279968286",826606.6,612855.83
15,"CASH_OUT",115167.23,"C211458036",118622.26,3455.03,"C832279283",91529.25,206696.48
15,"PAYMENT",13518.65,"C648527488",159307.49,145788.84,"M1295169204",0,0
15,"CASH_OUT",278967.54,"C1387851522",0,0,"C2059639789",2519869.45,2798836.99
15,"CASH_OUT",48474.43,"C1575016528",100260,51785.57,"C1423769609",1585090.83,1633565.27
15,"CASH_IN",38622.89,"C214859506",3193,41815.89,"C1307988198",0,0
15,"CASH_IN",5033.7,"C805571014",3303546.44,3308580.14,"C1021600035",867582.88,980788.86
15,"CASH_OUT",220943.98,"C437529715",14828,0,"C2053705698",0,220943.98
15,"PAYMENT",17101.12,"C1862111076",791020.74,773919.62,"M634113002",0,0
15,"PAYMENT",4816.56,"C305623511",0,0,"M294116314",0,0
16,"PAYMENT",21654.99,"C113033991",105631,83976.01,"M55810302",0,0
16,"PAYMENT",12378.43,"C1008457470",127843.35,115464.92,"M1841612053",0,0
16,"CASH_IN",129659.33,"C1222707996",5517512.2,5647171.53,"C452365814",711507.38,581848.05
16,"CASH_IN",215616.65,"C1534843604",1158410.31,1374026.96,"C997676807",3881831.28,3666214.64
16,"TRANSFER",689508.99,"C519332363",0,0,"C1882485538",4090033.17,4779542.16
16,"CASH_OUT",73745.57,"C388496704",0,0,"C635848930",93298,167043.57
16,"PAYMENT",9154.56,"C1896175622",11084,1929.44,"M1274702467",0,0
16,"PAYMENT",2562.91,"C129235929",0,0,"M714111013",0,0
16,"CASH_OUT",6346.52,"C1107111138",16202.42,9855.9,"C2147385318",12295,18641.52
16,"CASH_OUT",8934.22,"C1267299017",57148,48213.78,"C1585949908",0,8934.22
16,"CASH_OUT",66370.03,"C722718451",5638,0,"C1194329596",0,92454.36
16,"PAYMENT",14950.16,"C155631520",0,0,"M447369902",0,0
16,"TRANSFER",2954144.13,"C1411869003",0,0,"C1669259232",5312849.95,8266994.08
16,"PAYMENT",9518.62,"C887139061",16192,6673.38,"M1948431411",0,0
16,"CASH_IN",258313.4,"C1385077450",5594784.26,5853097.66,"C1769678205",595562.47,337249.07
